2025-12-14 05:09:35 | INFO | src.pages.dashboard_page | Click on Add Employee BTN
2025-12-14 05:09:35 | INFO | src.pages.dashboard_page | firstname set
2025-12-14 05:09:35 | INFO | src.pages.dashboard_page | Lastname set
2025-12-14 05:09:35 | INFO | src.pages.dashboard_page | Dependants Set
2025-12-14 05:09:35 | INFO | src.pages.dashboard_page | Click on Add BTN
2025-12-14 05:09:35 | INFO | src.pages.dashboard_page | Employee succesfully added
2025-12-14 05:09:44 | INFO | src.pages.dashboard_page | Click on Add Employee BTN
2025-12-14 05:09:44 | INFO | src.pages.dashboard_page | firstname set
2025-12-14 05:09:44 | INFO | src.pages.dashboard_page | Lastname set
2025-12-14 05:09:44 | INFO | src.pages.dashboard_page | Dependants Set
2025-12-14 05:09:44 | INFO | src.pages.dashboard_page | Click on Add BTN
2025-12-14 05:09:44 | INFO | src.pages.dashboard_page | Employee succesfully added
2025-12-14 05:09:57 | INFO | src.pages.dashboard_page | Click on Add Employee BTN
2025-12-14 05:09:58 | INFO | src.pages.dashboard_page | firstname set
2025-12-14 05:09:58 | INFO | src.pages.dashboard_page | Lastname set
2025-12-14 05:09:58 | INFO | src.pages.dashboard_page | Dependants Set
2025-12-14 05:09:58 | INFO | src.pages.dashboard_page | Click on Add BTN
2025-12-14 05:09:58 | INFO | src.pages.dashboard_page | Employee succesfully added
2025-12-14 05:10:07 | WARNING | src.pages.dashboard_page | Login Succesfull
2025-12-14 05:10:07 | INFO | src.pages.dashboard_page | Net pay validated successfully | net=1961.54 gross=2000.0 benefits=38.46
2025-12-14 05:10:16 | WARNING | src.pages.dashboard_page | Login Succesfull
2025-12-14 05:10:17 | INFO | src.pages.dashboard_page | Click on Edit Employee BTN
2025-12-14 05:10:17 | INFO | src.pages.dashboard_page | firstname set
2025-12-14 05:10:17 | INFO | src.pages.dashboard_page | Lastname set
2025-12-14 05:10:17 | INFO | src.pages.dashboard_page | Dependants Set
2025-12-14 05:10:17 | INFO | src.pages.dashboard_page | Click on Update BTN
2025-12-14 05:10:17 | INFO | src.pages.dashboard_page | Employee succesfully updated
2025-12-14 05:10:32 | WARNING | src.pages.dashboard_page | Login Succesfull
2025-12-14 05:10:33 | INFO | src.pages.dashboard_page | Click on Edit Employee BTN
2025-12-14 05:10:33 | INFO | src.pages.dashboard_page | Click on Edit Employee BTN
2025-12-14 05:10:33 | INFO | src.pages.dashboard_page | Employee succesfully deleted
